Symbol,Name,Industry
2321.T,Softfront Holdings,IT 서비스 및 컨설팅
2323.T,Fonfun Corp,온라인 서비스
2325.T,NJS Co Ltd,환경 서비스 및 장비
2326.T,Digital Arts Inc,소프트웨어
2327.T,NS Solutions Corp,IT 서비스 및 컨설팅
2329.T,Tohokushinsha Film Corp,광고 및 마케팅
2330.T,Forside Co Ltd,장난감 및 어린이 제품
2331.T,ALSOK Co Ltd,경영 지원 서비스
2332.T,Quest Co Ltd,IT 서비스 및 컨설팅
2334.T,Eole Inc,광고 및 마케팅
2335.T,Cube System Inc,IT 서비스 및 컨설팅
2337.T,Ichigo Inc,"부동산 임대, 개발 및 운영"
2338.T,Quantum Solutions Co Ltd,IT 서비스 및 컨설팅
2340.T,Gokurakuyu Holdings Co Ltd,개인 서비스
2341.T,Arbeit-Times Co Ltd,소비자 출판
2342.T,TransGenic Group Inc,백화점
2345.T,HODL1 Inc,블록 체인 및 암호화폐
2349.T,Nippon Information Development Co Ltd,IT 서비스 및 컨설팅
2351.T,ASJ Inc,IT 서비스 및 컨설팅
2353.T,Nippon Parking Development Co Ltd,고속도로 및 철도
2354.T,YE DIGITAL Corp,IT 서비스 및 컨설팅
2359.T,Core Corp,IT 서비스 및 컨설팅
2370.T,Medinet Co Ltd,생명 공학 및 의학 연구
2371.T,Kakaku.com Inc,온라인 서비스
2373.T,Care Twentyone Corp,의료 시설 및 서비스
2375.T,GiG Works Inc,경영 지원 서비스
2376.T,SCiNEX Corp,소비자 출판
2378.T,Renaissance Inc,여가 및 오락시설
2379.T,dip Corp,고용 서비스
2384.T,SBS Holdings Inc,지상 화물 및 물류
2385.T,Soiken Holdings Inc,개인 생활 필수 용품
2388.T,Wedge Holdings Co Ltd,엔터테인먼트 제작
2391.T,Planet Inc,온라인 서비스
2393.T,Nippon Care Supply Co Ltd,"의료 장비, 물품 및 유통"
2395.T,Shin Nippon Biomedical Laboratories Ltd,생명 공학 및 의학 연구
239A.T,Balleggs Co Ltd,"부동산 임대, 개발 및 운영"
2404.T,TETSUJIN Holdings Inc,여가 및 오락시설
